2021-02-02 12:49:06,670 INFO    SenderThread:1229 [sender.py:send_request_defer():212] handle sender defer: 6
2021-02-02 12:49:06,670 INFO    SenderThread:1229 [sender.py:send_request_defer():248] send defer: 7
2021-02-02 12:49:06,670 DEBUG   HandlerThread:1229 [handler.py:handle_request():93] handle_request: defer
2021-02-02 12:49:06,670 INFO    HandlerThread:1229 [handler.py:handle_request_defer():107] handle defer: 7
2021-02-02 12:49:06,671 DEBUG   SenderThread:1229 [sender.py:send():117] send: request
2021-02-02 12:49:06,671 DEBUG   SenderThread:1229 [sender.py:send_request():126] send_request: defer
2021-02-02 12:49:06,671 INFO    SenderThread:1229 [sender.py:send_request_defer():212] handle sender defer: 7
2021-02-02 12:49:06,671 INFO    SenderThread:1229 [sender.py:send_request_defer():248] send defer: 8
2021-02-02 12:49:06,671 DEBUG   HandlerThread:1229 [handler.py:handle_request():93] handle_request: defer
2021-02-02 12:49:06,672 INFO    HandlerThread:1229 [handler.py:handle_request_defer():107] handle defer: 8
2021-02-02 12:49:06,672 DEBUG   SenderThread:1229 [sender.py:send():117] send: final
2021-02-02 12:49:06,672 DEBUG   SenderThread:1229 [sender.py:send():117] send: request
2021-02-02 12:49:06,672 DEBUG   SenderThread:1229 [sender.py:send_request():126] send_request: defer
2021-02-02 12:49:06,672 INFO    SenderThread:1229 [sender.py:send_request_defer():212] handle sender defer: 8
2021-02-02 12:49:08,575 DEBUG   HandlerThread:1229 [handler.py:handle_request():93] handle_request: poll_exit
2021-02-02 12:49:08,575 DEBUG   SenderThread:1229 [sender.py:send():117] send: request
2021-02-02 12:49:08,575 DEBUG   SenderThread:1229 [sender.py:send_request():126] send_request: poll_exit
2021-02-02 12:49:08,577 DEBUG   HandlerThread:1229 [handler.py:handle_request():93] handle_request: get_summary
2021-02-02 12:49:08,577 DEBUG   HandlerThread:1229 [handler.py:handle_request():93] handle_request: sampled_history
2021-02-02 12:49:08,578 DEBUG   HandlerThread:1229 [handler.py:handle_request():93] handle_request: shutdown
2021-02-02 12:49:08,579 INFO    HandlerThread:1229 [handler.py:finish():312] shutting down handler
2021-02-02 12:49:08,672 INFO    WriterThread:1229 [datastore.py:close():258] close: /content/instance-video-colorization/wandb/offline-run-20210202_124838-3g9w0lrm/run-3g9w0lrm.wandb
2021-02-02 12:49:09,576 INFO    SenderThread:1229 [sender.py:finish():766] shutting down sender
2021-02-02 12:49:09,576 INFO    MainThread:1229 [internal.py:handle_exit():156] Internal process exited
